Druid,Purl,Title
bp752qs6053,https://purl.stanford.edu/bp752qs6053,Grana y oro : pasodoble
br351xc9456,https://purl.stanford.edu/br351xc9456,La tempestad : valses sobre varios motivos
ch984dr4932,https://purl.stanford.edu/ch984dr4932,"Cuarteto op. 130 : III, Andante con moto ma non troppo"
cw746gb6753,https://purl.stanford.edu/cw746gb6753,"Aida : Acto II, Marcha triunfal"
cy287wz7683,https://purl.stanford.edu/cy287wz7683,Las castigadoras : Charlestón
dk418xy4378,https://purl.stanford.edu/dk418xy4378,Félix Rodríguez : Pasodoble flamenco
dv468zh8208,https://purl.stanford.edu/dv468zh8208,La Marsellesa : himno francés
gn803sk7089,https://purl.stanford.edu/gn803sk7089,El huésped del Sevillano : Lagarteranas
gv741wj6162,https://purl.stanford.edu/gv741wj6162,Gallito : paso doble flamenco
hb523vs3190,https://purl.stanford.edu/hb523vs3190,"Sonata, op. 2, no 1, en Fa menor : Minuetto"
ht999gf1829,https://purl.stanford.edu/ht999gf1829,Gigantes y cabezudos : selección
jg489yw0942,https://purl.stanford.edu/jg489yw0942,El guitarrico : Jota
jp202jq5812,https://purl.stanford.edu/jp202jq5812,"Serenata poética, en forma de fox trot"
jv485mx5227,https://purl.stanford.edu/jv485mx5227,Amparito roca : pasodoble
jy320zw1102,https://purl.stanford.edu/jy320zw1102,Valse impromptu
km927sd2616,https://purl.stanford.edu/km927sd2616,Don Quintín el amargao : Java
kz454tt7354,https://purl.stanford.edu/kz454tt7354,"Qué mujer, qué mujer! : vals de la Revista Bis Bis"
ms604gp1206,https://purl.stanford.edu/ms604gp1206,El puñao de rosas : selecciones
mw139zj5450,https://purl.stanford.edu/mw139zj5450,El organillo y... yo : schotish
nw222vm1898,https://purl.stanford.edu/nw222vm1898,Las castigadoras : Pasodoble
ps866sb0637,https://purl.stanford.edu/ps866sb0637,"Cantos asturianos, no 1 : Andante, allegro non molto"
pz594dj8436,https://purl.stanford.edu/pz594dj8436,Las corsarias : Selecciones
qd454gb9111,https://purl.stanford.edu/qd454gb9111,La tempranica : selecciones
qf152xr6941,https://purl.stanford.edu/qf152xr6941,La marchenera : Petenera
qh464nj1973,https://purl.stanford.edu/qh464nj1973,Ecos españoles : pasodoble
qj765hb3428,https://purl.stanford.edu/qj765hb3428,Suspiro flamenco : pasodoble
rh357hg0211,https://purl.stanford.edu/rh357hg0211,Modern pericón
rr052wh1991,https://purl.stanford.edu/rr052wh1991,El huésped del Sevillano : Lagarteranas
rs892mq5364,https://purl.stanford.edu/rs892mq5364,Rosa de Madrid : schotis
rx870zt5437,https://purl.stanford.edu/rx870zt5437,Galleguita : tango argentino
sb388kg1678,https://purl.stanford.edu/sb388kg1678,El carrerito : tango argentino
sm344xv2220,https://purl.stanford.edu/sm344xv2220,Bohemios : Escena y coro
sz948zd1422,https://purl.stanford.edu/sz948zd1422,Dinah : Charlestón
tc493dq4498,https://purl.stanford.edu/tc493dq4498,"Fantaisiestück, op. 12 : N. 8, Amici, comedia finita est"
tn412mq0486,https://purl.stanford.edu/tn412mq0486,Por si las moscas : Schotis
tp613xb9088,https://purl.stanford.edu/tp613xb9088,El tango de la cocaína
vc908xz3554,https://purl.stanford.edu/vc908xz3554,Carnaval de Venezia
vc943nk4921,https://purl.stanford.edu/vc943nk4921,La alegría de la huerta : selecciones
vk572hg6636,https://purl.stanford.edu/vk572hg6636,El sobre verde : Bombones de chocolate
vq862qw5039,https://purl.stanford.edu/vq862qw5039,No te engañes corazón : tango
vr247rd6766,https://purl.stanford.edu/vr247rd6766,Porque era negro : tango
vz386xg9451,https://purl.stanford.edu/vz386xg9451,"Sonata op. 31, no 1 : Rondó"
wq696jd1149,https://purl.stanford.edu/wq696jd1149,Barrio reo : tango
wx138dx1211,https://purl.stanford.edu/wx138dx1211,"Nocturno, op. 15, no 1, en Fa"
xn196fs1128,https://purl.stanford.edu/xn196fs1128,La parranda : Ronda de las solteras
xy736dn5214,https://purl.stanford.edu/xy736dn5214,Très jolie : suite de valses
xz373zg4809,https://purl.stanford.edu/xz373zg4809,Gitanillo de Triana : pasodoble
zk199jz1564,https://purl.stanford.edu/zk199jz1564,Adiós muchachos : tango
zm791gz4425,https://purl.stanford.edu/zm791gz4425,El barbero de Sevilla : selecciones : zarzuela española
zx785pg9042,https://purl.stanford.edu/zx785pg9042,La cieguita : tango-canción
zy618kz1670,https://purl.stanford.edu/zy618kz1670,Remembrance
