"Druid","Purl","Title"
"bc072xf6791","https://purl.stanford.edu/bc072xf6791","Adelaïde : (transcription)"
"bd915bs0646","https://purl.stanford.edu/bd915bs0646","Capriccio brilliante B major"
"bf074nj8801","https://purl.stanford.edu/bf074nj8801","Sonata appassionata : op. 57, F Minor. 2nd and 3rd movements"
"bf644yy6536","https://purl.stanford.edu/bf644yy6536","Peer Gynt suite II"
"bg098gg3899","https://purl.stanford.edu/bg098gg3899","13th rhapsody"
"bj021jc9795","https://purl.stanford.edu/bj021jc9795","Berceuse"
"bj093nh2591","https://purl.stanford.edu/bj093nh2591","Piano concerto op. 54, A minor. Allegro affectuoso, allegro molto"
"bj606rp8160","https://purl.stanford.edu/bj606rp8160","Ballade op. 23, G minor"
"bk297ff8944","https://purl.stanford.edu/bk297ff8944","Symphonic pathétic op. 74, part. I (final)"
"bm016sg7202","https://purl.stanford.edu/bm016sg7202","Polonaise : (polonaise militaire) : op. 40, no. 1"
"bp952tr1116","https://purl.stanford.edu/bp952tr1116","II Rhapsodie op. 11"
"bq744nq5945","https://purl.stanford.edu/bq744nq5945","Sonata op. 111, C minor. 1st movement"
"bs173rx9307","https://purl.stanford.edu/bs173rx9307","Isoldens Liebestod"
"bs279zc9206","https://purl.stanford.edu/bs279zc9206","Concerto E minor. Part II"
"bs533ns1949","https://purl.stanford.edu/bs533ns1949","Naïla : Walzer"
"bx815rz0622","https://purl.stanford.edu/bx815rz0622","12th hungarian rhapsody : (as played by Liszt)"
"bz327kz4744","https://purl.stanford.edu/bz327kz4744","What'll I do : waltz"
"cd381jt9273","https://purl.stanford.edu/cd381jt9273","3th symphony. Allegro vivacissimo"
"cd435bw2771","https://purl.stanford.edu/cd435bw2771","Arlequine"
"cg834ff4729","https://purl.stanford.edu/cg834ff4729","Lilac domino : hesitation waltz"
"ch197br4742","https://purl.stanford.edu/ch197br4742","Etude op. 25, no. 9 : (staccato)"
"ch401rm7382","https://purl.stanford.edu/ch401rm7382","Mignon's Lied"
"ch718mg2581","https://purl.stanford.edu/ch718mg2581","Menuett (from Sonata op. 31 E flat major)"
"cm852bp8620","https://purl.stanford.edu/cm852bp8620","Wanderer-Fantasie. III. und IV. Satz"
"cp145vd3423","https://purl.stanford.edu/cp145vd3423","Sérénade espagnole : op. 16, no 3"
"cp259ms0085","https://purl.stanford.edu/cp259ms0085","Samson and Delilah. Cantabile du grand duo"
"cs175wr2428","https://purl.stanford.edu/cs175wr2428","Kreisleriana"
"ct503bz7189","https://purl.stanford.edu/ct503bz7189","Märchenbilder. 5-7"
"cv806rf2664","https://purl.stanford.edu/cv806rf2664","Wilde Jagd : Etude"
"cw078rn1143","https://purl.stanford.edu/cw078rn1143","Waltz, D flat major, op. 64, no. 1"
"cw211cn1219","https://purl.stanford.edu/cw211cn1219","Davidsbündler dances"
"cw378sb0125","https://purl.stanford.edu/cw378sb0125","Elevation : op. 76, no. 2"
"cw427tw4145","https://purl.stanford.edu/cw427tw4145","Rondo capriccioso"
"cw965qx3168","https://purl.stanford.edu/cw965qx3168","Follow the swallow : fox-trot"
"cz847th6835","https://purl.stanford.edu/cz847th6835","VIII. Rhapsodie"
"cz952kx0008","https://purl.stanford.edu/cz952kx0008","Romanze cis-Moll"
"dc661yr7679","https://purl.stanford.edu/dc661yr7679","Ungarischer Tanz. No. 1"
"dc920rk8870","https://purl.stanford.edu/dc920rk8870","Children's corner"
"dj406yq6980","https://purl.stanford.edu/dj406yq6980","Feuerzauber"
"dp497dz1055","https://purl.stanford.edu/dp497dz1055","Hexentanz : op. 17, no. 2"
"dp563zh2166","https://purl.stanford.edu/dp563zh2166","Rakoczy-Marsch"
"dp801zr4347","https://purl.stanford.edu/dp801zr4347","Leonora no. 3 overture"
"dq126tp4234","https://purl.stanford.edu/dq126tp4234","Don Juan. Overture"
"dq276yn8963","https://purl.stanford.edu/dq276yn8963","Les saisons, ballet"
"dr835xg3992","https://purl.stanford.edu/dr835xg3992","Rienzi : Ouverture"
"dr971dy1221","https://purl.stanford.edu/dr971dy1221","Ballet des sylves"
"ds710xd1794","https://purl.stanford.edu/ds710xd1794","Scenes from childhood. No. 7-13"
"dt046tz6296","https://purl.stanford.edu/dt046tz6296","Lohengrin. Elsa's dream"
"dt352gh2011","https://purl.stanford.edu/dt352gh2011","Kamennoi ostrow : op. 10, Nr. 22"
"dw005gw3358","https://purl.stanford.edu/dw005gw3358","La soirée dane Granade"
"dw083wh0675","https://purl.stanford.edu/dw083wh0675","Loreley"
"dw479gk0103","https://purl.stanford.edu/dw479gk0103","Minuett G major"
